City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
183,Tateyama,JP,69.8,34.98,139.87,Tateyama Seaside Hotel
184,Santa Cruz Cabralia,BR,68.0,-16.28,-39.02,Baia Cabrália Hotel
189,Kismayo,SO,80.42,-0.36,42.55,Agan-Hotel
190,Markova,UA,62.4,48.68,24.41,Kempinh
191,Claye-Souilly,FR,53.6,48.94,2.69,CRYSTAL HOTEL
193,Ponta Do Sol,PT,69.8,32.67,-17.1,Hotel do Campo
195,Awbari,LY,70.32,26.59,12.78,فندق أوباري
197,Merritt Island,US,80.6,28.54,-80.67,
201,Khatanga,RU,70.02,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
202,Sao Mateus,BR,64.78,-18.72,-39.86,Hotel Rio Norte
203,Eydhafushi,MV,83.44,5.1,73.07,Soneva Fushi
204,Geraldton,AU,80.6,-28.77,114.6,Broadwater Mariner Resort
205,Makat,KZ,82.18,47.65,53.35,Gostinitsa Daulet
206,Chilliwack,CA,60.8,49.17,-121.94,Travelodge Hotel by Wyndham Chilliwack
207,Zyryanka,RU,89.87,65.75,150.85,Zyryanka
208,Rocha,UY,56.23,-34.48,-54.33,Beleza Pura B&B
209,Shamary,RU,53.92,57.34,58.22,
210,Fortuna,US,55.99,40.6,-124.16,Super 8 by Wyndham Fortuna
212,Havelock,US,79.0,34.88,-76.9,Sherwood Motel
214,Havre-Saint-Pierre,CA,51.8,50.23,-63.6,Auberge Niapiskau
218,Benalla,AU,55.99,-36.55,145.98,Rose City Motor Inn
220,La Pila,MX,60.8,22.05,-100.87,Zar San Luis Potosi
223,Casas Grandes,MX,77.09,30.37,-107.95,PUEBLO DEL SOuL
224,Bethel,US,69.8,41.37,-73.41,Courtyard by Marriott Danbury
226,Talnakh,RU,64.4,69.49,88.4,Talnakh Hotel
227,Mali Zvornik,RS,59.0,44.37,19.11,Хотел Видиковац
228,Half Moon Bay,US,60.8,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
229,Ajaccio,FR,60.8,42.0,8.92,Sole E Monte
231,Alofi,NU,78.8,-19.06,-169.92,Taloa Heights
235,Norden,DE,62.01,53.6,7.2,Hotel Aquarius
236,Camabatela,AO,55.9,-8.19,15.38,Pensão E Restaurantes
239,Souillac,MU,73.4,-20.52,57.52,Bils' Villa
240,Georgetown,MY,87.8,5.41,100.34,Cititel Penang
241,Saint-Joseph,RE,75.2,-21.37,55.62,"""Plantation Bed and Breakfast"
242,Cascais,PT,64.99,38.7,-9.42,Hotel Vila Galé Cascais
243,College,US,52.0,64.86,-147.8,Pike's Waterfront Lodge
