City_ID,City,Cloudiness,Country,Current Description,Date,Humidity,Lat,Lng,Max Temp,Rainfall,Snowfall,Wind Speed
156,Nikel,39,RU,scattered clouds,2020-06-22 05:18:30,71,69.41,30.22,50.0,0.0,0,8.05
157,Saint-Philippe,32,RE,scattered clouds,2020-06-22 05:16:17,57,-21.36,55.77,75.2,0.0,0,3.36
158,Buraydah,0,SA,clear sky,2020-06-22 05:18:31,30,26.33,43.98,84.2,0.0,0,10.29
159,Coos Bay,20,US,few clouds,2020-06-22 05:18:31,87,43.37,-124.22,57.99,0.0,0,18.34
160,Okhotsk,100,RU,overcast clouds,2020-06-22 05:18:31,72,59.38,143.3,53.76,0.0,0,11.83
161,Komsomolskiy,1,UZ,clear sky,2020-06-22 05:18:32,14,40.43,71.72,91.4,0.0,0,2.24
162,Palatka,1,US,clear sky,2020-06-22 05:18:32,88,29.65,-81.64,75.99,0.0,0,2.75
163,Usinsk,100,RU,overcast clouds,2020-06-22 05:18:32,63,65.99,57.53,44.08,0.0,0,9.86
164,Raudeberg,98,NO,overcast clouds,2020-06-22 05:18:32,94,61.99,5.14,59.0,0.0,0,3.83
165,Labuhan,67,ID,broken clouds,2020-06-22 05:17:28,69,-6.88,112.21,85.01,0.0,0,4.63
166,Chokwe,0,MZ,clear sky,2020-06-22 05:18:33,89,-24.53,32.98,56.84,0.0,0,4.09
167,Fukue,20,JP,few clouds,2020-06-22 05:18:33,69,32.69,128.84,78.8,0.0,0,11.41
168,Yunyang,100,CN,overcast clouds,2020-06-22 05:18:33,86,33.45,112.71,71.74,0.0,0,5.75
169,West Bay,43,KY,scattered clouds,2020-06-22 05:18:34,85,19.37,-81.42,82.99,0.0,0,1.99
170,Diu,62,IN,broken clouds,2020-06-22 05:18:34,68,20.71,70.98,87.84,0.0,0,12.73
171,Shebunino,100,RU,light rain,2020-06-22 05:18:34,93,46.43,141.86,50.0,0.17,0,10.78
172,Tatui,0,BR,clear sky,2020-06-22 05:18:34,77,-23.36,-47.86,60.12,0.0,0,1.72
173,Fort Nelson,75,CA,broken clouds,2020-06-22 05:16:10,63,58.81,-122.7,60.8,0.0,0,5.82
174,Kilindoni,89,TZ,light rain,2020-06-22 05:18:35,81,-7.91,39.67,77.23,0.26,0,18.12
175,Port Keats,0,AU,clear sky,2020-06-22 05:18:35,25,-14.25,129.55,86.11,0.0,0,11.3
176,Ahipara,39,NZ,scattered clouds,2020-06-22 05:18:35,78,-35.17,173.17,59.9,0.0,0,8.05
177,Rincon,1,US,clear sky,2020-06-22 05:18:15,78,32.3,-81.24,80.6,0.0,0,6.93
178,Kysyl-Syr,0,RU,clear sky,2020-06-22 05:18:36,29,63.9,122.76,78.82,0.0,0,10.56
179,Albanel,20,CA,few clouds,2020-06-22 05:18:36,61,48.88,-72.45,77.0,0.0,0,8.05
180,Hambantota,20,LK,few clouds,2020-06-22 05:18:36,70,6.12,81.12,87.8,0.0,0,16.11
181,Krasnoselkup,100,RU,light rain,2020-06-22 05:18:37,84,65.7,82.47,52.36,0.27,0,14.07
182,Namibe,0,AO,clear sky,2020-06-22 05:18:37,55,-15.2,12.15,68.13,0.0,0,3.76
183,Tateyama,75,JP,light intensity shower rain,2020-06-22 05:18:37,88,34.98,139.87,69.8,0.0,0,17.22
184,Santa Cruz Cabralia,1,BR,clear sky,2020-06-22 05:18:38,88,-16.28,-39.02,68.0,0.0,0,5.82
185,Dharmanagar,36,IN,moderate rain,2020-06-22 05:18:38,77,24.37,92.17,88.63,1.66,0,1.68
186,Zvishavane,0,ZW,clear sky,2020-06-22 05:18:38,66,-20.33,30.07,47.88,0.0,0,1.79
187,Marawi,78,PH,moderate rain,2020-06-22 05:18:39,77,8.0,124.29,86.0,1.85,0,7.0
188,Taoudenni,24,ML,few clouds,2020-06-22 05:18:39,11,22.68,-3.98,97.56,0.0,0,19.28
189,Kismayo,87,SO,overcast clouds,2020-06-22 05:18:39,79,-0.36,42.55,80.42,0.0,0,18.28
190,Markova,81,UA,broken clouds,2020-06-22 05:18:40,92,48.68,24.41,62.4,0.0,0,5.59
191,Claye-Souilly,0,FR,clear sky,2020-06-22 05:18:40,93,48.94,2.69,53.6,0.0,0,4.7
192,Pangnirtung,97,CA,overcast clouds,2020-06-22 05:18:40,62,66.15,-65.71,46.33,0.0,0,1.9
193,Ponta Do Sol,40,PT,scattered clouds,2020-06-22 05:18:40,64,32.67,-17.1,69.8,0.0,0,14.99
194,Nanortalik,74,GL,broken clouds,2020-06-22 05:15:49,75,60.14,-45.24,45.18,0.0,0,5.82
195,Awbari,0,LY,clear sky,2020-06-22 05:18:41,41,26.59,12.78,70.32,0.0,0,11.65
196,Freetown,85,SL,light rain,2020-06-22 05:18:41,85,8.48,-13.23,78.01,0.23,0,4.18
197,Merritt Island,1,US,clear sky,2020-06-22 05:18:41,74,28.54,-80.67,80.6,0.0,0,4.7
198,Berlevag,75,NO,broken clouds,2020-06-22 05:17:30,93,70.86,29.09,42.8,0.0,0,17.22
199,Tabou,100,CI,light rain,2020-06-22 05:18:42,86,4.42,-7.35,76.08,0.19,0,10.02
200,Rio Gallegos,87,AR,overcast clouds,2020-06-22 05:18:42,74,-51.62,-69.22,37.4,0.0,0,6.93
201,Khatanga,93,RU,overcast clouds,2020-06-22 05:18:42,44,71.97,102.5,70.02,0.0,0,4.47
202,Sao Mateus,0,BR,clear sky,2020-06-22 05:18:43,92,-18.72,-39.86,64.78,0.0,0,3.22
203,Eydhafushi,100,MV,overcast clouds,2020-06-22 05:18:43,77,5.1,73.07,83.44,0.0,0,10.51
204,Geraldton,50,AU,scattered clouds,2020-06-22 05:18:43,22,-28.77,114.6,80.6,0.0,0,19.46
205,Makat,1,KZ,clear sky,2020-06-22 05:18:43,35,47.65,53.35,82.18,0.0,0,17.43
206,Chilliwack,40,CA,scattered clouds,2020-06-22 05:16:09,76,49.17,-121.94,60.8,0.0,0,3.36
207,Zyryanka,0,RU,clear sky,2020-06-22 05:18:44,18,65.75,150.85,89.87,0.0,0,10.04
208,Rocha,100,UY,overcast clouds,2020-06-22 05:18:44,94,-34.48,-54.33,56.23,0.0,0,8.61
209,Shamary,14,RU,few clouds,2020-06-22 05:18:44,61,57.34,58.22,53.92,0.0,0,7.94
210,Fortuna,90,US,overcast clouds,2020-06-22 05:18:44,93,40.6,-124.16,55.99,0.0,0,6.93
211,Vestbjerg,100,DK,moderate rain,2020-06-22 05:14:29,95,57.13,9.96,57.99,4.0,0,4.59
212,Havelock,7,US,clear sky,2020-06-22 05:18:45,96,34.88,-76.9,79.0,0.0,0,1.99
213,Srednekolymsk,0,RU,clear sky,2020-06-22 05:16:14,18,67.45,153.68,90.34,0.0,0,4.0
214,Havre-Saint-Pierre,90,CA,overcast clouds,2020-06-22 05:18:45,93,50.23,-63.6,51.8,0.0,0,6.93
215,Tiksi,84,RU,broken clouds,2020-06-22 05:18:45,82,71.69,128.87,40.42,0.0,0,9.1
216,Tura,4,IN,light rain,2020-06-22 05:18:46,68,25.52,90.22,87.13,0.21,0,5.35
217,Mercedes,100,AR,overcast clouds,2020-06-22 05:18:46,96,-34.65,-59.43,45.0,0.0,0,1.01
218,Benalla,93,AU,overcast clouds,2020-06-22 05:18:46,81,-36.55,145.98,55.99,0.0,0,4.7
219,La Paz,11,BO,few clouds,2020-06-22 05:18:46,34,-16.5,-68.15,37.4,0.0,0,2.24
220,La Pila,90,MX,heavy intensity rain,2020-06-22 05:18:47,100,22.05,-100.87,60.8,0.0,0,5.82
221,Veraval,73,IN,light rain,2020-06-22 05:18:47,72,20.9,70.37,86.92,0.3,0,12.62
222,Hamilton,90,US,moderate rain,2020-06-22 05:15:36,94,39.18,-84.53,70.0,1.02,0,3.67
223,Casas Grandes,0,MX,clear sky,2020-06-22 05:18:48,17,30.37,-107.95,77.09,0.0,0,14.67
224,Bethel,1,US,clear sky,2020-06-22 05:14:09,77,41.37,-73.41,69.8,0.0,0,3.44
225,Savannah Bight,57,HN,light rain,2020-06-22 05:18:49,80,16.45,-85.85,82.78,0.75,0,22.26
226,Talnakh,26,RU,scattered clouds,2020-06-22 05:15:42,36,69.49,88.4,64.4,0.0,0,17.9
227,Mali Zvornik,90,RS,moderate rain,2020-06-22 05:18:50,93,44.37,19.11,59.0,0.0,0,6.93
228,Half Moon Bay,90,US,mist,2020-06-22 05:18:50,93,37.46,-122.43,60.8,0.0,0,4.7
229,Ajaccio,0,FR,clear sky,2020-06-22 05:18:51,82,42.0,8.92,60.8,0.0,0,5.82
230,Dong Hoi,56,VN,broken clouds,2020-06-22 05:18:51,48,17.48,106.6,97.45,0.0,0,5.48
231,Alofi,72,NU,broken clouds,2020-06-22 05:14:59,78,-19.06,-169.92,78.8,0.0,0,9.17
232,Ilulissat,49,GL,scattered clouds,2020-06-22 05:18:51,75,69.22,-51.1,41.0,0.0,0,1.12
233,Longyearbyen,0,SJ,clear sky,2020-06-22 05:17:02,65,78.22,15.64,44.6,0.0,0,4.7
234,Tonantins,28,BR,light rain,2020-06-22 05:18:52,95,-2.87,-67.8,73.08,0.11,0,0.92
235,Norden,40,DE,scattered clouds,2020-06-22 05:14:14,87,53.6,7.2,62.01,0.0,0,3.36
236,Camabatela,0,AO,clear sky,2020-06-22 05:18:52,60,-8.19,15.38,55.9,0.0,0,2.04
237,Tawang,49,IN,light rain,2020-06-22 05:18:52,54,27.58,91.87,71.51,0.37,0,7.38
238,Kloulklubed,100,PW,moderate rain,2020-06-22 05:18:53,79,7.04,134.26,82.92,2.71,0,14.67
239,Souillac,40,MU,shower rain,2020-06-22 05:15:34,73,-20.52,57.52,73.4,0.0,0,11.41
240,Georgetown,20,MY,few clouds,2020-06-22 05:18:53,79,5.41,100.34,87.8,0.0,0,9.17
